Especie,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mapajo,  19.892 ,  10.151 ,  6.163 ,  11.674 ,  13.886 ,  23.917 ,  30.861 ,  29.495 ,  48.762 ,  50.684 ,  36.988 ,  29.095 ,  42.278 ,  34.358 ,  45.418 ,  51.018 ,  56.232 ,  47.618 ,  47.024 ,  47.199 
Mara,  37.958 ,  19.285 ,  21.721 ,  5.098 ,  3.225 ,  12.495 ,  13.554 ,  20.438 ,  15.520 ,  5.497 ,  6.539 ,  2.989 ,  3.389 ,  1.252 ,  389 ,  536 ,  285 ,  722 ,  804 ,  1.093 
Mara macho,  38.281 ,  11.789 ,  23.235 ,  14.891 ,  2.463 ,  18.278 ,  26.235 ,  30.520 ,  22.340 ,  22.710 ,  25.558 ,  61.406 ,  8.937 ,  32.686 ,  28.718 ,  29.438 ,  29.987 ,  35.879 ,  22.622 ,  32.839 
Masaranduba,  20 ,  2 ,  116 ,  372 ,  268 ,  1.681 ,  1.067 ,  1.975 ,  8.237 ,  5.983 ,  3.981 ,  4.316 ,  3.206 ,  12.037 ,  8.827 ,  7.358 ,  7.789 ,  8.032 ,  5.375 ,  5.953 
Morado,  1.571 ,  1.874 ,  1.129 ,  13.474 ,  2.580 ,  2.598 ,  14.447 ,  4.550 ,  6.771 ,  7.836 ,  10.362 ,  2.173 ,  3.947 ,  15.159 ,  11.859 ,  20.554 ,  27.643 ,  37.099 ,  20.733 ,  18.070 
Murure,  693 ,  1.485 ,  1.606 ,  2.506 ,  1.013 ,  2.699 ,  2.413 ,  8.083 ,  9.585 ,  14.763 ,  12.610 ,  7.555 ,  6.608 ,  13.472 ,  19.709 ,  21.352 ,  12.154 ,  12.633 ,  7.912 ,  8.379 
Ochoo,  116.383 ,  85.540 ,  49.846 ,  117.998 ,  63.291 ,  96.500 ,  107.602 ,  139.786 ,  145.885 ,  145.129 ,  154.834 ,  67.501 ,  183.874 ,  272.386 ,  328.577 ,  343.636 ,  333.894 ,  314.138 ,  264.721 ,  245.656 
Palo maria,  15.708 ,  10.620 ,  9.845 ,  9.095 ,  2.230 ,  8.817 ,  13.920 ,  14.727 ,  20.793 ,  22.512 ,  21.112 ,  15.082 ,  33.962 ,  22.437 ,  21.778 ,  24.441 ,  28.557 ,  31.399 ,  26.178 ,  25.329 
Paquió,  5.254 ,  5.499 ,  3.478 ,  8.114 ,  1.344 ,  13.979 ,  8.558 ,  12.423 ,  9.001 ,  17.626 ,  14.953 ,  7.027 ,  11.087 ,  13.571 ,  26.533 ,  22.977 ,  23.397 ,  28.229 ,  24.472 ,  22.140 
Quecho,  1.638 ,  1.801 ,  2.370 ,  1.634 ,  1.416 ,  3.640 ,  3.439 ,  3.445 ,  9.279 ,  7.495 ,  6.621 ,  5.624 ,  5.663 ,  2.664 ,  7.867 ,  9.570 ,  10.889 ,  5.750 ,  3.306 ,  2.440 
Quina quina,  2.378 ,  667 ,  530 ,  510 ,  1.096 ,  4.048 ,  10.513 ,  8.507 ,  16.523 ,  10.980 ,  -   ,  15.793 ,  3.347 ,  681 ,  1.054 ,  5.063 ,  5.027 ,  4.277 ,  2.685 ,  2.251 
Roble,  109.638 ,  35.784 ,  53.147 ,  36.525 ,  39.283 ,  39.726 ,  41.846 ,  54.304 ,  36.135 ,  58.044 ,  63.679 ,  22.648 ,  56.668 ,  29.307 ,  33.861 ,  43.781 ,  47.176 ,  38.795 ,  42.633 ,  29.980 
Serebó,  20.894 ,  23.089 ,  61.936 ,  17.119 ,  2.861 ,  20.517 ,  19.979 ,  16.681 ,  14.704 ,  12.706 ,  6.845 ,  2.110 ,  3.120 ,  23.848 ,  27.204 ,  34.350 ,  34.425 ,  39.492 ,  29.562 ,  40.607 
Sirari,  3.561 ,  4.220 ,  333 ,  898 ,  1.026 ,  4.600 ,  24.962 ,  6.462 ,  3.038 ,  11.110 ,  8.921 ,  3.051 ,  3.836 ,  9.805 ,  20.038 ,  21.620 ,  20.821 ,  15.397 ,  10.096 ,  10.650 
Soto,  1.470 ,  449 ,  286 ,  1.435 ,  14.467 ,  677 ,  2.087 ,  7.485 ,  24.293 ,  10.891 ,  6.348 ,  1.713 ,  6.377 ,  5.716 ,  9.699 ,  18.254 ,  19.265 ,  23.681 ,  19.180 ,  19.975 
Sujo,  1.454 ,  2.630 ,  3.482 ,  4.589 ,  21.141 ,  3.978 ,  8.111 ,  5.614 ,  5.697 ,  6.151 ,  5.190 ,  2.777 ,  3.719 ,  3.852 ,  4.282 ,  5.538 ,  5.493 ,  4.775 ,  3.905 ,  3.340 
Tajibo,  27.272 ,  17.078 ,  4.791 ,  23.658 ,  43.541 ,  29.558 ,  49.850 ,  56.444 ,  56.288 ,  80.005 ,  92.231 ,  39.153 ,  99.944 ,  62.844 ,  73.527 ,  83.496 ,  81.568 ,  95.301 ,  74.394 ,  60.580 
Tarara,  6.549 ,  4.719 ,  3.198 ,  8.201 ,  1.828 ,  7.163 ,  15.419 ,  5.749 ,  1.885 ,  10.131 ,  9.778 ,  740 ,  1.263 ,  2.433 ,  3.656 ,  1.675 ,  2.621 ,  1.930 ,  1.288 ,  1.042 
Verdolago,  17.109 ,  14.307 ,  7.567 ,  18.747 ,  6.372 ,  13.910 ,  15.188 ,  17.578 ,  10.605 ,  34.784 ,  27.353 ,  15.975 ,  23.420 ,  29.632 ,  47.219 ,  49.507 ,  46.449 ,  45.129 ,  39.652 ,  30.421 
Yesquero,  27.575 ,  26.044 ,  15.754 ,  20.822 ,  1.029 ,  12.982 ,  12.625 ,  17.319 ,  7.052 ,  -   ,  -   ,  5.160 ,  8.976 ,  6.719 ,  10.872 ,  8.233 ,  10.976 ,  9.010 ,  8.671 ,  6.843 
Yesquero blanco,  9.615 ,  15.746 ,  40.357 ,  14.840 ,  21.086 ,  23.599 ,  40.182 ,  21.714 ,  22.583 ,  26.976 ,  37.917 ,  6.726 ,  14.253 ,  24.879 ,  46.951 ,  32.494 ,  32.057 ,  27.901 ,  25.526 ,  25.715 
Yesquero Negro,  8.368 ,  2.766 ,  1.866 ,  7.851 ,  550 ,  5.057 ,  5.171 ,  7.567 ,  9.831 ,  27.393 ,  918 ,  2.339 ,  9.596 ,  13.715 ,  16.935 ,  15.692 ,  13.235 ,  13.772 ,  13.075 ,  11.793 
Las demás especies,  85.934 ,  57.791 ,  65.546 ,  66.340 ,  279.131 ,  135.289 ,  76.760 ,  118.483 ,  168.931 ,  172.377 ,  192.745 ,  123.766 ,  141.675 ,  160.854 ,  249.717 ,  298.629 ,  335.777 ,  309.913 ,  235.758 ,  227.814 
