3.551,2.965,  - ,9.435,474,7.431,9.787,12.723,14.923,13.234,9.610,17.948,27.323,5.222,4.051,3.997,3.681,2.044,2.546,3.664
42.605,24.934,  27.457 ,24.978,40.191,180.563,99.182,144.770,306.701,243.185,174.236,188.043,160.123,151.921,190.984,236.477,295.421,276.170,233.076,212.668
113.273,76.520,39.182,81.134,11.447,55.713,40.435,43.862,87.673,82.185,67.353,58.846,72.938,30.138,52.655,76.556,87.381,54.328,65.399,44.968
  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  409 
  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  236 
11.134,12.580,  - ,1.695,1.023,29.021,1.093,14.366,12.845,15.123,18.967,18.189,29.110,7.481,13.341,6.195,10.889,15.115,10.801,11.188
319.013,264.866,230.999,340.969,484.031,337.632,415.857,462.150,387.604,554.217,529.744,146.720,539.058,600.341,782.297,839.336,873.814,897.255,793.906,755.198
184.849,83.358,159.579,63.119,21.839,58.305,115.695,101.254,78.747,54.139,104.326,215.236,127.574,275.937,347.393,396.551,266.895,210.949,160.801,147.784
84.017,37.622,38.581,37.475,22.777,25.168,47.378,83.670,91.275,126.655,155.110,39.216,82.917,60.520,84.629,85.764,161.367,178.834,125.679,169.655
758.442,502.845,495.798,558.805,581.782,693.833,729.428,862.795,979.768,1.088.739,1.059.347,684.199,1.039.043,1.131.559,1.475.349,1.644.876,1.699.447,1.634.696,1.392.210,1.345.769
